-0.00901	6.82638
0.01515	11.13188
0.02215	17.49929
0.02378	19.11838
0.00428	27.32782
-0.01887	33.20924
-0.0177	35.1267
-0.00112	42.61361
0.01378	48.20187
0.01375	50.77607
0.03152	58.33338
0.019	62.89
0.01665	65.64926
-0.01001	72.94553
-0.0228	77.05489
-0.01303	81.84661
0.02562	88.96867
0.02868	91.07245
0.02299	96.31539
0.02335	104.2916
0.02891	104.9129
-0.00589	113.1109
-0.02118	116.8974
-0.00254	119.9544
0.01903	127.8409
0.01742	129.4383
0.01736	136.1385
0.00823	141.4214
-6.36E-04	144.3261
-0.00917	152.1027
-0.00834	152.9942
0.00835	158.7369
0.01774	164.508
0.03187	167.7373
0.02085	175.0155
0.02236	175.5908
0.02827	183.3521
0.03551	186.2611
0.05228	190.6626
0.05654	196.664
0.058	197.7997
0.02665	206.1276
0.03127	206.6645
0.04215	214.5854
0.03335	216.4498
0.05232	222.2638
0.04596	225.8136
0.04053	229.1989
0.0687	234.8209
0.08406	237.7198
0.08388	243.5211
0.07695	245.0723
0.07307	251.9097
0.06568	253.2902
0.07244	259.8049
0.07863	260.5594
0.115	267.4202
0.129	269.346
0.09677	274.8541
0.1	276.8614
0.09265	281.8189
0.08731	284.0232
0.104	288.3682
0.143	292.424
0.103	294.8077
0.118	299.8173
0.107	300.7571
0.151	306.3767
0.166	308.1097
0.145	311.6974
0.157	315.9197
0.15	316.8843
0.209	321.6768
0.216	323.7255
0.187	326.0017
0.22	330.2181
0.239	331.3425
0.234	334.2602
0.225	337.7752
0.244	339.1238
0.254	341.1347
0.294	344.4704
0.264	347.1169
0.258	347.3734
0.322	350.0469
0.314	352.5495
0.306	354.887
0.305	355.1876
0.366	356.9361
0.329	358.8649
0.372	360.6824
0.44	362.3522
0.426	362.944
0.428	363.7182
0.477	365.1295
0.501	366.417
0.517	367.4508
0.543	368.5404
0.591	369.6624
0.6	370.4632
0.613	370.6084
0.642	371.0284
0.679	371.8532
0.685	372.5741
0.728	373.2314
